save_name,run_index,execution_time_ms,avg_ms,min_ms,max_ms,effective_ups,percentage_improvement,ticks,factorio_version,platform
clux-16-baseline-222ports-5kbots-wrs25-centralised,0,5554.197,0.514,0.358,1.195,1944.4755020392686,0,10800,2.0.76,linux-x86_64
clux-16-baseline-222ports-5kbots-wrs25-centralised,1,5560.09,0.515,0.342,1.2,1942.4146012024985,0,10800,2.0.76,linux-x86_64
clux-16-222ports-3kbots-wrs25-centralised,0,5550.973,0.514,0.35,1.068,1945.6048516179055,0.03597698690159967,10800,2.0.76,linux-x86_64
clux-16-222ports-3kbots-wrs25-centralised,1,5559.32,0.515,0.323,2.156,1942.6836375671846,0.03597698690159967,10800,2.0.76,linux-x86_64
clux-16-222ports-5kbots-wrs32-centralised,1,5567.545,0.516,0.363,2.588,1939.8136880797551,0.14863695638959873,10800,2.0.76,linux-x86_64
clux-16-222ports-5kbots-wrs32-centralised,0,5530.368,0.512,0.354,1.949,1952.853770309679,0.14863695638959873,10800,2.0.76,linux-x86_64
clux-16-136ports-2.5kbots-wrs32-centralised,0,4830.652,0.447,0.297,2.769,2235.7230452535186,14.26382815040292,10800,2.0.76,linux-x86_64
clux-16-136ports-2.5kbots-wrs32-centralised,1,4896.657,0.453,0.309,2.525,2205.586382709673,14.26382815040292,10800,2.0.76,linux-x86_64
clux-16-105ports-2.6kbots-wrs25-centralised,1,4442.807,0.411,0.295,0.957,2430.8956027124295,24.48346062027729,10800,2.0.76,linux-x86_64
clux-16-105ports-2.6kbots-wrs25-centralised,0,4485.721,0.415,0.285,0.905,2407.639708309991,24.48346062027729,10800,2.0.76,linux-x86_64
clux-16-100ports-2.3kbots-wrs32-centralised,1,4448.44,0.412,0.282,0.983,2427.8173921644443,25.319616038522074,10800,2.0.76,linux-x86_64
clux-16-100ports-2.3kbots-wrs32-centralised,0,4420.399,0.409,0.279,0.942,2443.218361057452,25.319616038522074,10800,2.0.76,linux-x86_64
clux-16-92ports-2.3kbots-wrs37-centralised,1,4325.856,0.401,0.289,1.604,2496.6156987195136,28.418683888250374,10800,2.0.76,linux-x86_64
clux-16-92ports-2.3kbots-wrs37-centralised,0,4328.87,0.401,0.288,1.509,2494.87741604622,28.418683888250374,10800,2.0.76,linux-x86_64
clux-16-100ports-2.3kbots-wrs37-decentral-irregular,0,4196.192,0.389,0.248,0.954,2573.7621157468484,32.03521115541263,10800,2.0.76,linux-x86_64
clux-16-100ports-2.3kbots-wrs37-decentral-irregular,1,4221.551,0.391,0.262,0.922,2558.3014394472552,32.03521115541263,10800,2.0.76,linux-x86_64
clux-16-96-ports-2.6kbots-wrs32-decentral-8pc,0,4139.627,0.383,0.278,2.38,2608.9307080082335,34.25013311896679,10800,2.0.76,linux-x86_64
clux-16-96-ports-2.6kbots-wrs32-decentral-8pc,1,4139.161,0.383,0.277,1.174,2609.2244297817842,34.25013311896679,10800,2.0.76,linux-x86_64
clux-16-98-ports-2.6kbots-wrs32-decentral-7pc,0,4063.63,0.376,0.265,0.96,2657.7222827865726,36.2377632179982,10800,2.0.76,linux-x86_64
clux-16-98-ports-2.6kbots-wrs32-decentral-7pc,1,4094.492,0.379,0.26,3.147,2637.6898526117525,36.2377632179982,10800,2.0.76,linux-x86_64
clux-16-100-ports-3kbots-wrs25-decentral-5pc,1,3999.133,0.37,0.262,2.566,2700.585351875019,38.41981554373988,10800,2.0.76,linux-x86_64
clux-16-100-ports-3kbots-wrs25-decentral-5pc,0,4030.391,0.373,0.268,3.683,2679.640759420116,38.41981554373988,10800,2.0.76,linux-x86_64
clux-16-100-ports-2.6kbots-wrs32-decentral-5pc,1,3932.077,0.364,0.252,0.908,2746.6400073040277,41.354658576811204,10800,2.0.76,linux-x86_64
clux-16-100-ports-2.6kbots-wrs32-decentral-5pc,0,3930.617,0.364,0.257,0.934,2747.6602273892368,41.354658576811204,10800,2.0.76,linux-x86_64
clux-16-100ports-2.4kbots-wrs37-decentral-5pc,1,3926.791,0.364,0.264,1.169,2750.3373619833596,41.36973381057549,10800,2.0.76,linux-x86_64
clux-16-100ports-2.4kbots-wrs37-decentral-5pc,0,3935.073,0.364,0.261,0.901,2744.5488304791297,41.36973381057549,10800,2.0.76,linux-x86_64
